method,task,regime,budget,split,seed,episodes,stress,success_rate,utility,causal_mechanism_recall,spurious_dependence_rate,tail_failure_rate,damage_rate,selection_cost,regret,calibration_error,risk_budget,risk_score,accepted,budget_breach,fixed_risk_utility
random_uniform_selector,contact_grasp_policy,iid_mechanisms,large_budget,combined_stress,0,96,0.24300000,0.34375000,-0.11909549,0.32755900,0.42832680,0.17953592,0.10849254,0.16858000,0.33108950,0.14108654,0.05000000,0.49238174,0,0,-0.16090651
random_uniform_selector,contact_grasp_policy,iid_mechanisms,large_budget,combined_stress,1,96,0.24300000,0.36458333,-0.09806059,0.32839200,0.42905280,0.17940651,0.10859884,0.16904800,0.32917609,0.14157306,0.05000000,0.49212439,0,0,-0.13985079
random_uniform_selector,contact_grasp_policy,iid_mechanisms,large_budget,combined_stress,2,96,0.24300000,0.48958333,0.03425598,0.32922500,0.42977880,0.17615209,0.10664264,0.16951600,0.31457517,0.14205958,0.05000000,0.48510204,0,0,-0.00751340
random_uniform_selector,contact_grasp_policy,iid_mechanisms,large_budget,combined_stress,3,96,0.24300000,0.36458333,-0.10050346,0.33005800,0.43050480,0.18039768,0.10963645,0.16998400,0.33042426,0.14254610,0.05000000,0.49431568,0,0,-0.14225201
random_uniform_selector,contact_grasp_policy,iid_mechanisms,large_budget,combined_stress,4,96,0.24300000,0.41666667,-0.04012268,0.33089100,0.43123080,0.17132677,0.10864376,0.17045200,0.32422435,0.14303262,0.05000000,0.48600342,0,0,-0.08185040
random_uniform_selector,contact_grasp_policy,iid_mechanisms,large_budget,combined_stress,5,96,0.24300000,0.36458333,-0.09698494,0.33172400,0.43195680,0.17338486,0.11019381,0.17092000,0.33119219,0.14351914,0.05000000,0.49048157,0,0,-0.13869184
random_uniform_selector,contact_grasp_policy,iid_mechanisms,large_budget,combined_stress,6,96,0.24300000,0.35416667,-0.10933454,0.33255700,0.43268280,0.17419295,0.11091887,0.17138800,0.33308502,0.14400566,0.05000000,0.49225371,0,0,-0.15102062
random_uniform_selector,contact_grasp_policy,iid_mechanisms,large_budget,combined_stress,7,96,0.24300000,0.40625000,-0.05491515,0.33339000,0.43340880,0.17312603,0.11040642,0.17185600,0.32736536,0.14449218,0.05000000,0.48996686,0,0,-0.09658040
random_uniform_selector,contact_grasp_policy,iid_mechanisms,large_budget,combined_stress,8,96,0.24300000,0.38541667,-0.08148006,0.32021600,0.43413480,0.17424662,0.11133772,0.17232400,0.33108722,0.14497870,0.05000000,0.49536258,0,0,-0.12347466
random_uniform_selector,contact_grasp_policy,iid_mechanisms,large_budget,combined_stress,9,96,0.24300000,0.39583333,-0.07157332,0.32104900,0.43486080,0.17442971,0.11165028,0.17279200,0.33044256,0.14546522,0.05000000,0.49578173,0,0,-0.11354710
random_uniform_selector,contact_grasp_policy,iid_mechanisms,medium_budget,combined_stress,0,96,0.26100000,0.39583333,-0.07426835,0.32369700,0.43043160,0.17608540,0.11404189,0.17833600,0.33279667,0.14770863,0.05000000,0.49776900,0,0,-0.11617592
random_uniform_selector,contact_grasp_policy,iid_mechanisms,medium_budget,combined_stress,1,96,0.26100000,0.46875000,0.00367774,0.32453700,0.43116360,0.17439772,0.11312131,0.17880800,0.32454475,0.14019527,0.05000000,0.49205733,0,0,-0.03820883
random_uniform_selector,contact_grasp_policy,iid_mechanisms,medium_budget,combined_stress,2,96,0.26100000,0.30208333,-0.16904136,0.32537700,0.43189560,0.17989753,0.10894047,0.17928000,0.34547407,0.14068591,0.05000000,0.49902371,0,0,-0.21090694
random_uniform_selector,contact_grasp_policy,iid_mechanisms,medium_budget,combined_stress,3,96,0.26100000,0.43750000,-0.02300562,0.32621700,0.43262760,0.17633485,0.10678239,0.17975200,0.31960465,0.14117655,0.05000000,0.48873278,0,0,-0.06485019
random_uniform_selector,contact_grasp_policy,iid_mechanisms,medium_budget,combined_stress,4,96,0.26100000,0.37500000,-0.08948557,0.32705700,0.43335960,0.17870966,0.10854305,0.17222000,0.32784648,0.14166719,0.05000000,0.49389665,0,0,-0.13130915
random_uniform_selector,contact_grasp_policy,iid_mechanisms,medium_budget,combined_stress,5,96,0.26100000,0.37500000,-0.09071729,0.32789700,0.43409160,0.17920948,0.10906622,0.17269200,0.32847581,0.14215783,0.05000000,0.49500151,0,0,-0.13251987
random_uniform_selector,contact_grasp_policy,iid_mechanisms,medium_budget,combined_stress,6,96,0.26100000,0.40625000,-0.05856451,0.32873700,0.43482360,0.17877180,0.10897063,0.17316400,0.32529889,0.14264847,0.05000000,0.49407688,0,0,-0.10034608
random_uniform_selector,contact_grasp_policy,iid_mechanisms,medium_budget,combined_stress,7,96,0.26100000,0.39583333,-0.07092439,0.32957700,0.43555560,0.17958411,0.10970005,0.17363600,0.32719697,0.14313911,0.05000000,0.49585824,0,0,-0.11268497
random_uniform_selector,contact_grasp_policy,iid_mechanisms,medium_budget,combined_stress,8,96,0.26100000,0.46875000,0.00574105,0.33041700,0.43628760,0.17789643,0.10877946,0.17410800,0.31894505,0.14362975,0.05000000,0.49222761,0,0,-0.03599852
random_uniform_selector,contact_grasp_policy,iid_mechanisms,medium_budget,combined_stress,9,96,0.26100000,0.27083333,-0.20692583,0.33125700,0.43701960,0.18433374,0.11322138,0.17458000,0.34368063,0.14412039,0.05000000,0.50618597,0,0,-0.24864441
