task,regime,subset,candidate_examples,intervention_pairs,spurious_feature_rate,tail_mechanism_rate
contact_grasp_policy,iid_mechanisms,train_pool,4488,553,0.00000000,0.07560000
contact_grasp_policy,iid_mechanisms,heldout_pool,4988,553,0.00000000,0.07560000
contact_grasp_policy,color_mechanism_confound,train_pool,4632,572,0.22000000,0.09038400
contact_grasp_policy,color_mechanism_confound,heldout_pool,5132,572,0.22000000,0.09038400
contact_grasp_policy,material_shift,train_pool,4704,591,0.20000000,0.09777600
contact_grasp_policy,material_shift,heldout_pool,5204,591,0.20000000,0.09777600
contact_grasp_policy,operator_bias_shift,train_pool,4758,586,0.32000000,0.10332000
contact_grasp_policy,operator_bias_shift,heldout_pool,5258,586,0.32000000,0.10332000
contact_grasp_policy,rare_contact_mechanism,train_pool,4839,627,0.27000000,0.11163600
contact_grasp_policy,rare_contact_mechanism,heldout_pool,5339,627,0.27000000,0.11163600
contact_grasp_policy,intervention_gap,train_pool,4920,639,0.38000000,0.11995200
contact_grasp_policy,intervention_gap,heldout_pool,5420,639,0.38000000,0.11995200
contact_grasp_policy,counterfactual_missing,train_pool,4974,654,0.42000000,0.12549600
contact_grasp_policy,counterfactual_missing,heldout_pool,5474,654,0.42000000,0.12549600
contact_grasp_policy,compound_spurious_shift,train_pool,5064,673,0.56000000,0.13473600
contact_grasp_policy,compound_spurious_shift,heldout_pool,5564,673,0.56000000,0.13473600
peg_search_policy,iid_mechanisms,train_pool,4392,538,0.00000000,0.06480000
peg_search_policy,iid_mechanisms,heldout_pool,4892,538,0.00000000,0.06480000
peg_search_policy,color_mechanism_confound,train_pool,4536,558,0.22000000,0.07747200
peg_search_policy,color_mechanism_confound,heldout_pool,5036,558,0.22000000,0.07747200
peg_search_policy,material_shift,train_pool,4608,577,0.20000000,0.08380800
peg_search_policy,material_shift,heldout_pool,5108,577,0.20000000,0.08380800
peg_search_policy,operator_bias_shift,train_pool,4662,572,0.32000000,0.08856000
peg_search_policy,operator_bias_shift,heldout_pool,5162,572,0.32000000,0.08856000
peg_search_policy,rare_contact_mechanism,train_pool,4743,613,0.27000000,0.09568800
peg_search_policy,rare_contact_mechanism,heldout_pool,5243,613,0.27000000,0.09568800
peg_search_policy,intervention_gap,train_pool,4824,625,0.38000000,0.10281600
peg_search_policy,intervention_gap,heldout_pool,5324,625,0.38000000,0.10281600
peg_search_policy,counterfactual_missing,train_pool,4878,639,0.42000000,0.10756800
peg_search_policy,counterfactual_missing,heldout_pool,5378,639,0.42000000,0.10756800
peg_search_policy,compound_spurious_shift,train_pool,4968,658,0.56000000,0.11548800
peg_search_policy,compound_spurious_shift,heldout_pool,5468,658,0.56000000,0.11548800
deformable_pull_policy,iid_mechanisms,train_pool,4680,582,0.00000000,0.10800000
deformable_pull_policy,iid_mechanisms,heldout_pool,5180,582,0.00000000,0.10800000
deformable_pull_policy,color_mechanism_confound,train_pool,4824,601,0.22000000,0.12912000
deformable_pull_policy,color_mechanism_confound,heldout_pool,5324,601,0.22000000,0.12912000
deformable_pull_policy,material_shift,train_pool,4896,620,0.20000000,0.13968000
