method,task,regime,budget,split,seed,episodes,stress,success_rate,utility,causal_mechanism_recall,spurious_dependence_rate,tail_failure_rate,damage_rate,selection_cost,regret,calibration_error,stress_axis,stress_level
random_uniform_selector,contact_grasp_policy,spurious_strength_0,small_budget,combined_stress,0,96,0.36290000,0.23958333,-0.25934931,0.31268820,0.45554904,0.18767976,0.11771637,0.17934640,0.35116296,0.14836698,spurious_strength,0
random_uniform_selector,contact_grasp_policy,spurious_strength_0,small_budget,combined_stress,1,96,0.36290000,0.46875000,-0.01580249,0.31355620,0.45630504,0.18132149,0.11371948,0.17983440,0.32390077,0.14887410,spurious_strength,0
random_uniform_selector,contact_grasp_policy,spurious_strength_0,small_budget,combined_stress,2,96,0.36290000,0.37500000,-0.11722885,0.31442420,0.45706104,0.18465072,0.11611634,0.18032240,0.33596982,0.14938122,spurious_strength,0
random_uniform_selector,contact_grasp_policy,spurious_strength_0,small_budget,combined_stress,3,96,0.36290000,0.34375000,-0.15188620,0.31529220,0.45781704,0.18610495,0.11727570,0.18081040,0.34042638,0.14988834,spurious_strength,0
random_uniform_selector,contact_grasp_policy,spurious_strength_0,small_budget,combined_stress,4,96,0.36290000,0.38541667,-0.10864639,0.31616020,0.45857304,0.18537168,0.11699132,0.18129840,0.33600168,0.15039546,spurious_strength,0
random_uniform_selector,contact_grasp_policy,spurious_strength_0,small_budget,combined_stress,5,96,0.36290000,0.33333333,-0.15959870,0.31702820,0.45932904,0.17944690,0.11808294,0.18178640,0.34251549,0.15090258,spurious_strength,0
random_uniform_selector,contact_grasp_policy,spurious_strength_0,small_budget,combined_stress,6,96,0.36290000,0.34375000,-0.14318011,0.31789620,0.46008504,0.17965113,0.11041330,0.18227440,0.34189705,0.15140970,spurious_strength,0
random_uniform_selector,contact_grasp_policy,spurious_strength_0,small_budget,combined_stress,7,96,0.36290000,0.38541667,-0.09994030,0.31876420,0.46084104,0.17891786,0.11012891,0.18276240,0.33747235,0.15191682,spurious_strength,0
random_uniform_selector,contact_grasp_policy,spurious_strength_0,small_budget,combined_stress,8,96,0.36290000,0.37500000,-0.10974002,0.31963220,0.46159704,0.17974709,0.11087577,0.18325040,0.32938640,0.15242394,spurious_strength,0
random_uniform_selector,contact_grasp_policy,spurious_strength_0,small_budget,combined_stress,9,96,0.36290000,0.39583333,-0.08747590,0.32050020,0.46235304,0.17963882,0.11100388,0.18373840,0.32749921,0.14492706,spurious_strength,0
random_uniform_selector,peg_search_policy,spurious_strength_0,small_budget,combined_stress,0,96,0.36210000,0.34375000,-0.14895641,0.31451380,0.45556296,0.17959449,0.11819010,0.18492560,0.34166545,0.15255526,spurious_strength,0
random_uniform_selector,peg_search_policy,spurious_strength_0,small_budget,combined_stress,1,96,0.36210000,0.30208333,-0.18686716,0.31536080,0.45630096,0.18134854,0.11153863,0.18540160,0.34737502,0.14504602,spurious_strength,0
random_uniform_selector,peg_search_policy,spurious_strength_0,small_budget,combined_stress,2,96,0.36210000,0.29166667,-0.19663602,0.31620780,0.45703896,0.18216508,0.11227241,0.18587760,0.33927335,0.14554078,spurious_strength,0
random_uniform_selector,peg_search_policy,spurious_strength_0,small_budget,combined_stress,3,96,0.36210000,0.34375000,-0.14223719,0.31705480,0.45777696,0.18110662,0.11176868,0.18635360,0.33356417,0.14603554,spurious_strength,0
random_uniform_selector,peg_search_policy,spurious_strength_0,small_budget,combined_stress,4,96,0.36210000,0.27083333,-0.21985560,0.31790180,0.45851496,0.18379817,0.11373996,0.17882560,0.34307999,0.14653030,spurious_strength,0
random_uniform_selector,peg_search_policy,spurious_strength_0,small_budget,combined_stress,5,96,0.36210000,0.30208333,-0.18771310,0.31874880,0.45925296,0.18336471,0.11364874,0.17930160,0.33990831,0.14702506,spurious_strength,0
random_uniform_selector,peg_search_policy,spurious_strength_0,small_budget,combined_stress,6,96,0.36210000,0.23958333,-0.25572411,0.31959580,0.45999096,0.18574376,0.11541376,0.17977760,0.34815539,0.14751982,spurious_strength,0
