method,metric,mean,ci95,groups
conformal_shift_guard_selector,success_rate,0.60662272,0.00199236,6400
conformal_shift_guard_selector,utility,0.43464076,0.00247974,6400
conformal_shift_guard_selector,causal_mechanism_recall,0.60174855,0.00026544,6400
conformal_shift_guard_selector,spurious_dependence_rate,0.20372364,0.00051063,6400
conformal_shift_guard_selector,tail_failure_rate,0.08870727,0.00021107,6400
conformal_shift_guard_selector,damage_rate,0.05561322,0.00012106,6400
conformal_shift_guard_selector,selection_cost,0.23776689,0.00016196,6400
conformal_shift_guard_selector,regret,0.19263124,0.00028150,6400
counterfactual_pair_selector,success_rate,0.62542969,0.00199640,6400
counterfactual_pair_selector,utility,0.44684478,0.00248865,6400
counterfactual_pair_selector,causal_mechanism_recall,0.62468495,0.00026277,6400
counterfactual_pair_selector,spurious_dependence_rate,0.21016837,0.00051695,6400
counterfactual_pair_selector,tail_failure_rate,0.10241635,0.00021348,6400
counterfactual_pair_selector,damage_rate,0.06329063,0.00012111,6400
counterfactual_pair_selector,selection_cost,0.22110034,0.00016189,6400
counterfactual_pair_selector,regret,0.17462611,0.00028253,6400
diversity_coreset_selector,success_rate,0.49130371,0.00279501,6400
diversity_coreset_selector,utility,0.13302336,0.00347181,6400
diversity_coreset_selector,causal_mechanism_recall,0.46177399,0.00026500,6400
diversity_coreset_selector,spurious_dependence_rate,0.36731865,0.00072258,6400
diversity_coreset_selector,tail_failure_rate,0.14840738,0.00024244,6400
diversity_coreset_selector,damage_rate,0.09221380,0.00014079,6400
diversity_coreset_selector,selection_cost,0.19387719,0.00016357,6400
diversity_coreset_selector,regret,0.26398909,0.00039056,6400
domain_adversarial_selector,success_rate,0.60337240,0.00204845,6400
domain_adversarial_selector,utility,0.39479549,0.00255546,6400
domain_adversarial_selector,causal_mechanism_recall,0.58976007,0.00026367,6400
domain_adversarial_selector,spurious_dependence_rate,0.22590313,0.00053182,6400
domain_adversarial_selector,tail_failure_rate,0.11269250,0.00021486,6400
domain_adversarial_selector,damage_rate,0.06952654,0.00012261,6400
domain_adversarial_selector,selection_cost,0.21385935,0.00016198,6400
domain_adversarial_selector,regret,0.19093671,0.00029040,6400
failure_mining_selector,success_rate,0.51409180,0.00271807,6400
failure_mining_selector,utility,0.15120555,0.00337224,6400
failure_mining_selector,causal_mechanism_recall,0.49176659,0.00026237,6400
failure_mining_selector,spurious_dependence_rate,0.34935124,0.00069829,6400
failure_mining_selector,tail_failure_rate,0.16403504,0.00024035,6400
failure_mining_selector,damage_rate,0.10238600,0.00013785,6400
failure_mining_selector,selection_cost,0.21244883,0.00016203,6400
failure_mining_selector,regret,0.25215662,0.00037868,6400
foundation_embedding_filter,success_rate,0.58876628,0.00247517,6400
foundation_embedding_filter,utility,0.35989966,0.00307876,6400
foundation_embedding_filter,causal_mechanism_recall,0.60482818,0.00026146,6400
foundation_embedding_filter,spurious_dependence_rate,0.28500076,0.00064337,6400
foundation_embedding_filter,tail_failure_rate,0.11434152,0.00022972,6400
foundation_embedding_filter,damage_rate,0.07293729,0.00013136,6400
foundation_embedding_filter,selection_cost,0.18546825,0.00016343,6400
foundation_embedding_filter,regret,0.18679991,0.00034565,6400
influence_function_selector,success_rate,0.56956868,0.00237902,6400
influence_function_selector,utility,0.30821113,0.00296108,6400
influence_function_selector,causal_mechanism_recall,0.56167070,0.00026383,6400
