split,regime,task,seed,episodes,success_rate,causal_mechanism_recall,spurious_dependence_rate,tail_failure_rate,damage_rate,selection_cost,calibration_error,ablation,interpretation
combined_stress,iid_mechanisms,contact_grasp_policy,0,84,0.678571,0.644250,0.117889,0.067654,0.038726,0.221136,0.066622,full_causal_selector,all components
combined_stress,iid_mechanisms,contact_grasp_policy,1,84,0.773810,0.645018,0.118477,0.065211,0.037079,0.220560,0.067012,full_causal_selector,all components
combined_stress,iid_mechanisms,contact_grasp_policy,2,84,0.666667,0.645786,0.119065,0.068839,0.039844,0.222007,0.067401,full_causal_selector,all components
combined_stress,iid_mechanisms,contact_grasp_policy,3,84,0.809524,0.646554,0.119653,0.064968,0.037159,0.220954,0.067790,full_causal_selector,all components
combined_stress,iid_mechanisms,contact_grasp_policy,4,84,0.785714,0.647322,0.120241,0.066096,0.038108,0.213564,0.068180,full_causal_selector,all components
combined_stress,iid_mechanisms,contact_grasp_policy,5,84,0.690476,0.648090,0.120829,0.069368,0.040614,0.214893,0.068569,full_causal_selector,all components
combined_stress,iid_mechanisms,contact_grasp_policy,6,84,0.761905,0.648858,0.121417,0.059635,0.039006,0.214555,0.068959,full_causal_selector,all components
combined_stress,iid_mechanisms,peg_search_policy,0,84,0.738095,0.621158,0.114742,0.061211,0.037847,0.215918,0.068539,full_causal_selector,all components
combined_stress,iid_mechanisms,peg_search_policy,1,84,0.690476,0.621902,0.115312,0.063041,0.039301,0.216758,0.068916,full_causal_selector,all components
combined_stress,iid_mechanisms,peg_search_policy,2,84,0.642857,0.622646,0.115882,0.064871,0.040755,0.217599,0.069293,full_causal_selector,all components
combined_stress,iid_mechanisms,peg_search_policy,3,84,0.726190,0.623390,0.116452,0.062772,0.039354,0.217129,0.069670,full_causal_selector,all components
combined_stress,iid_mechanisms,peg_search_policy,4,84,0.678571,0.624134,0.117022,0.064601,0.040808,0.217970,0.070047,full_causal_selector,all components
combined_stress,iid_mechanisms,peg_search_policy,5,84,0.726190,0.624878,0.117592,0.063574,0.040186,0.217857,0.070425,full_causal_selector,all components
combined_stress,iid_mechanisms,peg_search_policy,6,84,0.702381,0.625622,0.118162,0.064689,0.041121,0.218459,0.070802,full_causal_selector,all components
combined_stress,iid_mechanisms,deformable_pull_policy,0,84,0.678571,0.663735,0.115907,0.062861,0.043285,0.216673,0.070970,full_causal_selector,all components
combined_stress,iid_mechanisms,deformable_pull_policy,1,84,0.619048,0.664519,0.116507,0.065070,0.045021,0.217652,0.071368,full_causal_selector,all components
combined_stress,iid_mechanisms,deformable_pull_policy,2,84,0.607143,0.665303,0.117107,0.065850,0.045719,0.218156,0.071765,full_causal_selector,all components
combined_stress,iid_mechanisms,deformable_pull_policy,3,84,0.654762,0.650079,0.117707,0.064844,0.045119,0.218063,0.064159,full_causal_selector,all components
combined_stress,iid_mechanisms,deformable_pull_policy,4,84,0.726190,0.650863,0.118307,0.063124,0.044000,0.217733,0.064557,full_causal_selector,all components
combined_stress,iid_mechanisms,deformable_pull_policy,5,84,0.654762,0.651647,0.118907,0.065690,0.045996,0.218831,0.064954,full_causal_selector,all components
combined_stress,iid_mechanisms,deformable_pull_policy,6,84,0.654762,0.652431,0.119507,0.066113,0.038430,0.219215,0.065352,full_causal_selector,all components
combined_stress,iid_mechanisms,mobile_place_policy,0,84,0.726190,0.645431,0.122885,0.064190,0.042265,0.218222,0.071689,full_causal_selector,all components
combined_stress,iid_mechanisms,mobile_place_policy,1,84,0.642857,0.646191,0.111461,0.066319,0.044039,0.219428,0.063879,full_causal_selector,all components
combined_stress,iid_mechanisms,mobile_place_policy,2,84,0.714286,0.646951,0.112043,0.064586,0.042907,0.219085,0.064264,full_causal_selector,all components
combined_stress,iid_mechanisms,mobile_place_policy,3,84,0.690476,0.647711,0.112625,0.065710,0.043851,0.219695,0.064649,full_causal_selector,all components
combined_stress,iid_mechanisms,mobile_place_policy,4,84,0.630952,0.632463,0.113207,0.067906,0.045574,0.220663,0.065035,full_causal_selector,all components
combined_stress,iid_mechanisms,mobile_place_policy,5,84,0.654762,0.633223,0.113789,0.067601,0.045479,0.220797,0.065420,full_causal_selector,all components
combined_stress,iid_mechanisms,mobile_place_policy,6,84,0.750000,0.633983,0.114371,0.065154,0.043828,0.220216,0.065805,full_causal_selector,all components
combined_stress,iid_mechanisms,force_limited_twist_policy,0,84,0.785714,0.645951,0.111479,0.065287,0.042665,0.213433,0.070511,full_causal_selector,all components
combined_stress,iid_mechanisms,force_limited_twist_policy,1,84,0.678571,0.646767,0.112103,0.068942,0.045457,0.214904,0.070925,full_causal_selector,all components
combined_stress,iid_mechanisms,force_limited_twist_policy,2,84,0.690476,0.647583,0.112727,0.061021,0.037169,0.215185,0.071339,full_causal_selector,all components
combined_stress,iid_mechanisms,force_limited_twist_policy,3,84,0.726190,0.648399,0.113351,0.060390,0.036847,0.215228,0.071753,full_causal_selector,all components
combined_stress,iid_mechanisms,force_limited_twist_policy,4,84,0.702381,0.649215,0.113975,0.061545,0.037822,0.215866,0.064163,full_causal_selector,all components
combined_stress,iid_mechanisms,force_limited_twist_policy,5,84,0.726190,0.650031,0.114599,0.061271,0.037759,0.216028,0.064577,full_causal_selector,all components
combined_stress,iid_mechanisms,force_limited_twist_policy,6,84,0.678571,0.650847,0.115223,0.063140,0.039254,0.216904,0.064991,full_causal_selector,all components
combined_stress,color_mechanism_confound,contact_grasp_policy,0,84,0.809524,0.637237,0.126729,0.069454,0.036308,0.221277,0.073068,full_causal_selector,all components
combined_stress,color_mechanism_confound,contact_grasp_policy,1,84,0.619048,0.638085,0.127377,0.075626,0.040935,0.223598,0.073498,full_causal_selector,all components
