method,task,regime,budget,split,seed,episodes,stress,success_rate,utility,causal_mechanism_recall,spurious_dependence_rate,tail_failure_rate,damage_rate,selection_cost,regret,calibration_error,ablation,ablation_note
full_interventional_mechanism_value_selector_v5,contact_grasp_policy,iid_mechanisms,medium_budget,combined_stress,0,96,0.26100000,0.81250000,0.78396510,0.75184700,0.11113812,0.06096425,0.04276734,0.16868800,0.08928019,0.04972676,full_interventional_mechanism_value_selector_v5,all v5 components
full_interventional_mechanism_value_selector_v5,contact_grasp_policy,iid_mechanisms,medium_budget,combined_stress,1,96,0.26100000,0.82291667,0.79361473,0.75285500,0.11201412,0.06125304,0.04318894,0.16925600,0.08876662,0.05031628,full_interventional_mechanism_value_selector_v5,all v5 components
full_interventional_mechanism_value_selector_v5,contact_grasp_policy,iid_mechanisms,medium_budget,combined_stress,2,96,0.26100000,0.82291667,0.79869947,0.75386300,0.11289012,0.06185432,0.03581278,0.16982400,0.08952179,0.05090580,full_interventional_mechanism_value_selector_v5,all v5 components
full_interventional_mechanism_value_selector_v5,contact_grasp_policy,iid_mechanisms,medium_budget,combined_stress,3,96,0.26100000,0.78125000,0.75270826,0.75487100,0.11376612,0.06370561,0.03726563,0.17039200,0.09535197,0.05149532,full_interventional_mechanism_value_selector_v5,all v5 components
full_interventional_mechanism_value_selector_v5,contact_grasp_policy,iid_mechanisms,medium_budget,combined_stress,4,96,0.26100000,0.82291667,0.80428221,0.75587900,0.10263612,0.06260067,0.03682499,0.16295600,0.09046451,0.04384072,full_interventional_mechanism_value_selector_v5,all v5 components
full_interventional_mechanism_value_selector_v5,contact_grasp_policy,iid_mechanisms,medium_budget,combined_stress,5,96,0.26100000,0.80208333,0.78054734,0.75688700,0.10351212,0.06382696,0.03786534,0.16352400,0.09375718,0.04443024,full_interventional_mechanism_value_selector_v5,all v5 components
full_interventional_mechanism_value_selector_v5,contact_grasp_policy,iid_mechanisms,medium_budget,combined_stress,6,96,0.26100000,0.78125000,0.75681247,0.75789500,0.10438812,0.06505325,0.03890568,0.16409200,0.09704986,0.04501976,full_interventional_mechanism_value_selector_v5,all v5 components
full_interventional_mechanism_value_selector_v5,contact_grasp_policy,iid_mechanisms,medium_budget,combined_stress,7,96,0.26100000,0.78125000,0.75224679,0.74489600,0.10526412,0.06565454,0.03953353,0.16466000,0.09836532,0.04560928,full_interventional_mechanism_value_selector_v5,all v5 components
full_interventional_mechanism_value_selector_v5,contact_grasp_policy,iid_mechanisms,medium_budget,combined_stress,8,96,0.26100000,0.71875000,0.68399925,0.74590400,0.10614012,0.06813082,0.04139887,0.16522800,0.10673299,0.04619880,full_interventional_mechanism_value_selector_v5,all v5 components
full_interventional_mechanism_value_selector_v5,contact_grasp_policy,iid_mechanisms,medium_budget,combined_stress,9,96,0.26100000,0.70833333,0.67139254,0.74691200,0.10701612,0.06904461,0.04223297,0.16579600,0.10875692,0.04678832,full_interventional_mechanism_value_selector_v5,all v5 components
full_interventional_mechanism_value_selector_v5,contact_grasp_policy,iid_mechanisms,small_budget,combined_stress,0,96,0.28350000,0.76041667,0.72516199,0.74490200,0.10590582,0.06867392,0.04117824,0.17168000,0.10191512,0.04763812,full_interventional_mechanism_value_selector_v5,all v5 components
full_interventional_mechanism_value_selector_v5,contact_grasp_policy,iid_mechanisms,small_budget,combined_stress,1,96,0.28350000,0.76041667,0.72965512,0.74590300,0.10677582,0.06126698,0.04132148,0.17224400,0.10218481,0.04822352,full_interventional_mechanism_value_selector_v5,all v5 components
full_interventional_mechanism_value_selector_v5,contact_grasp_policy,iid_mechanisms,small_budget,combined_stress,2,96,0.28350000,0.73958333,0.70853183,0.74690400,0.10764582,0.06248904,0.04235747,0.17280800,0.09546724,0.04880892,full_interventional_mechanism_value_selector_v5,all v5 components
full_interventional_mechanism_value_selector_v5,contact_grasp_policy,iid_mechanisms,small_budget,combined_stress,3,96,0.28350000,0.76041667,0.72931991,0.74790500,0.10851582,0.06246110,0.04256845,0.17337200,0.09367968,0.04939432,full_interventional_mechanism_value_selector_v5,all v5 components
full_interventional_mechanism_value_selector_v5,contact_grasp_policy,iid_mechanisms,small_budget,combined_stress,4,96,0.28350000,0.86458333,0.83913332,0.74890600,0.10938582,0.05993316,0.04112943,0.17393600,0.08174211,0.04997972,full_interventional_mechanism_value_selector_v5,all v5 components
full_interventional_mechanism_value_selector_v5,contact_grasp_policy,iid_mechanisms,small_budget,combined_stress,5,96,0.28350000,0.70833333,0.67074257,0.74990700,0.11025582,0.06521772,0.04484667,0.17450000,0.10152330,0.05056512,full_interventional_mechanism_value_selector_v5,all v5 components
full_interventional_mechanism_value_selector_v5,contact_grasp_policy,iid_mechanisms,small_budget,combined_stress,6,96,0.28350000,0.65625000,0.61363348,0.75090800,0.11112582,0.06737728,0.04650140,0.17506400,0.10861698,0.05115052,full_interventional_mechanism_value_selector_v5,all v5 components
full_interventional_mechanism_value_selector_v5,contact_grasp_policy,iid_mechanisms,small_budget,combined_stress,7,96,0.28350000,0.76041667,0.72344689,0.75190900,0.11199582,0.06484934,0.04506239,0.17562800,0.09667941,0.05173592,full_interventional_mechanism_value_selector_v5,all v5 components
