ablation,seed,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_causal_mechanism_recall,ci95_causal_mechanism_recall,mean_spurious_dependence_rate,ci95_spurious_dependence_rate,mean_tail_failure_rate,ci95_tail_failure_rate,mean_damage_rate,ci95_damage_rate,mean_selection_cost,ci95_selection_cost,mean_regret,ci95_regret,groups,episodes_per_cell
classifier_only_selector,0,0.56119792,0.01595327,0.39432894,0.01899607,0.64836999,0.00207225,0.21205073,0.00331546,0.11255992,0.00159356,0.06685681,0.00088590,0.16103934,0.00078897,0.15275758,0.00217675,80,96
classifier_only_selector,1,0.56315104,0.01484821,0.39602947,0.01769448,0.64785514,0.00210449,0.21222173,0.00337808,0.11250578,0.00155742,0.06702753,0.00087063,0.16123739,0.00078793,0.15243062,0.00202544,80,96
classifier_only_selector,2,0.56796875,0.01538330,0.40135937,0.01831864,0.64839081,0.00212838,0.21209258,0.00327594,0.11255439,0.00151564,0.06684731,0.00089267,0.16083514,0.00073243,0.15196067,0.00214120,80,96
classifier_only_selector,3,0.55677083,0.01463595,0.38998536,0.01750832,0.64910158,0.00210379,0.21166328,0.00317914,0.11297201,0.00156093,0.06667195,0.00086675,0.16103319,0.00080874,0.15316411,0.00205921,80,96
classifier_only_selector,4,0.55807292,0.01458573,0.39216248,0.01737807,0.64876181,0.00209968,0.21108390,0.00329967,0.11280883,0.00152746,0.06623404,0.00089004,0.16133129,0.00083123,0.15211758,0.00198657,80,96
classifier_only_selector,5,0.56119792,0.01480387,0.39533513,0.01780716,0.64842205,0.00221832,0.21125490,0.00329789,0.11281958,0.00154650,0.06618747,0.00092109,0.16112914,0.00091703,0.15164689,0.00213453,80,96
classifier_only_selector,6,0.56471354,0.01642311,0.39908588,0.01952107,0.64878264,0.00218794,0.21142590,0.00328127,0.11251846,0.00145097,0.06621520,0.00093709,0.16112709,0.00086945,0.15133272,0.00237100,80,96
classifier_only_selector,7,0.55846354,0.01447096,0.39181964,0.01717204,0.64861796,0.00214508,0.21189705,0.00325508,0.11282186,0.00142526,0.06656043,0.00086227,0.16122509,0.00085108,0.15238627,0.00201460,80,96
classifier_only_selector,8,0.56861979,0.01453554,0.40314021,0.01749866,0.64915364,0.00212023,0.21221813,0.00328261,0.11232723,0.00152485,0.06605952,0.00083126,0.16112299,0.00091523,0.15088818,0.00208788,80,96
classifier_only_selector,9,0.57109375,0.01397137,0.40545305,0.01718592,0.64898896,0.00211933,0.21223905,0.00318692,0.11245185,0.00153407,0.06622889,0.00084597,0.16102089,0.00087468,0.15073881,0.00201847,80,96
failure_only_selector,0,0.54830729,0.01414715,0.34997427,0.01710691,0.63916956,0.00219844,0.22230423,0.00333094,0.12950402,0.00150881,0.07566665,0.00079479,0.18497699,0.00088581,0.15856634,0.00200510,80,96
failure_only_selector,1,0.54609375,0.01430723,0.34728848,0.01711615,0.63933406,0.00218270,0.22260730,0.00328895,0.12956790,0.00141330,0.07590983,0.00079454,0.18516304,0.00086128,0.15883529,0.00200712,80,96
failure_only_selector,2,0.54348958,0.01633081,0.34424454,0.01984292,0.63914839,0.00217966,0.22231008,0.00338460,0.12952063,0.00149263,0.07644272,0.00088322,0.18514899,0.00089040,0.15938157,0.00231321,80,96
failure_only_selector,3,0.53346354,0.01808226,0.33389958,0.02145124,0.63948798,0.00220442,0.22216293,0.00338483,0.12960167,0.00158094,0.07641925,0.00100657,0.18513494,0.00084107,0.16106204,0.00244928,80,96
failure_only_selector,4,0.54401042,0.01440463,0.34513673,0.01773971,0.64000265,0.00218640,0.22201578,0.00344241,0.12956577,0.00155191,0.07611851,0.00096310,0.18502084,0.00082871,0.16000961,0.00208231,80,96
failure_only_selector,5,0.55260417,0.01453647,0.35428077,0.01769076,0.63876645,0.00216022,0.22246893,0.00355819,0.12911103,0.00158443,0.07553844,0.00090204,0.18550704,0.00082896,0.15888829,0.00212190,80,96
failure_only_selector,6,0.54309896,0.01467575,0.34433338,0.01777176,0.63858078,0.00208948,0.22202163,0.00339717,0.12946519,0.00146079,0.07561664,0.00092523,0.18589319,0.00085626,0.15977978,0.00210299,80,96
failure_only_selector,7,0.54726562,0.01655611,0.34854014,0.01971079,0.63822001,0.00212279,0.22217463,0.00347006,0.12943200,0.00158274,0.07573645,0.00090404,0.18547894,0.00085197,0.15904142,0.00232822,80,96
failure_only_selector,8,0.54882812,0.01397996,0.35023615,0.01710448,0.63873469,0.00222581,0.22247770,0.00345705,0.12948264,0.00150414,0.07561072,0.00086689,0.18556494,0.00088018,0.15884244,0.00214385,80,96
failure_only_selector,9,0.52968750,0.01575242,0.33003642,0.01892734,0.63889919,0.00214229,0.22233055,0.00350605,0.12983712,0.00158484,0.07606787,0.00085960,0.18535079,0.00088285,0.16138995,0.00219955,80,96
full_interventional_mechanism_value_selector_v5,0,0.69791667,0.01230587,0.64166162,0.01432973,0.73842583,0.00213555,0.12721125,0.00232714,0.07534076,0.00143233,0.04558521,0.00080805,0.17187504,0.00088752,0.10713798,0.00161648,80,96
full_interventional_mechanism_value_selector_v5,1,0.69908854,0.01137560,0.64320015,0.01355069,0.73877233,0.00202369,0.12676987,0.00241456,0.07507863,0.00151497,0.04563840,0.00077667,0.17186494,0.00084610,0.10707034,0.00162966,80,96
full_interventional_mechanism_value_selector_v5,2,0.68736979,0.01411565,0.63087596,0.01639555,0.73911883,0.00213879,0.12677872,0.00228334,0.07532038,0.00149289,0.04586190,0.00079320,0.17175479,0.00082031,0.10834995,0.00195074,80,96
full_interventional_mechanism_value_selector_v5,3,0.70117188,0.01246347,0.64493250,0.01471176,0.73858989,0.00227374,0.12723780,0.00232594,0.07531386,0.00152896,0.04581933,0.00078246,0.17174469,0.00081123,0.10648237,0.00171092,80,96
full_interventional_mechanism_value_selector_v5,4,0.69322917,0.01139823,0.63638461,0.01355625,0.73788586,0.00214903,0.12694650,0.00235445,0.07543092,0.00145807,0.04606203,0.00077376,0.17183464,0.00082968,0.10770508,0.00168768,80,96
full_interventional_mechanism_value_selector_v5,5,0.70052083,0.01214130,0.64420407,0.01439963,0.73805728,0.00209833,0.12665520,0.00228548,0.07519100,0.00138588,0.04600909,0.00082127,0.17172449,0.00086583,0.10704322,0.00161983,80,96
full_interventional_mechanism_value_selector_v5,6,0.67760417,0.01202887,0.61928836,0.01412216,0.73787851,0.00215209,0.12726435,0.00234550,0.07609165,0.00135477,0.04668460,0.00074453,0.17161434,0.00089437,0.10937894,0.00166337,80,96
full_interventional_mechanism_value_selector_v5,7,0.70026042,0.01171258,0.64389316,0.01351101,0.73857519,0.00213680,0.12667290,0.00240121,0.07537939,0.00139814,0.04622130,0.00077340,0.17160424,0.00089558,0.10656035,0.00165483,80,96
full_interventional_mechanism_value_selector_v5,8,0.69466146,0.01129180,0.63815743,0.01338202,0.73839643,0.00204948,0.12683182,0.00238849,0.07564335,0.00136964,0.04603853,0.00082253,0.17109389,0.00084847,0.10688455,0.00166176,80,96
full_interventional_mechanism_value_selector_v5,9,0.69700521,0.01162905,0.64054688,0.01378808,0.73856784,0.00201587,0.12699075,0.00236782,0.07566902,0.00127266,0.04599865,0.00078890,0.17158404,0.00083463,0.10647745,0.00151466,80,96
minus_calibration_guard,0,0.66171875,0.01352132,0.57766881,0.01590075,0.72747836,0.00218277,0.14422201,0.00247866,0.08858111,0.00144383,0.05325814,0.00083438,0.16792344,0.00088043,0.11859260,0.00194962,80,96
minus_calibration_guard,1,0.65859375,0.01258135,0.57472074,0.01488116,0.72783195,0.00216947,0.14408686,0.00254416,0.08856362,0.00146659,0.05311276,0.00084931,0.16771729,0.00082707,0.11907382,0.00181245,80,96
minus_calibration_guard,2,0.66966146,0.01292383,0.58664647,0.01517915,0.72766028,0.00213499,0.14470209,0.00256628,0.08814887,0.00150164,0.05250148,0.00082756,0.16791134,0.00083797,0.11738261,0.00176737,80,96
minus_calibration_guard,3,0.66210938,0.01205595,0.57821871,0.01377942,0.72731351,0.00211391,0.14501716,0.00252867,0.08838135,0.00140980,0.05285909,0.00076159,0.16810539,0.00082934,0.11795811,0.00161891,80,96
minus_calibration_guard,4,0.66640625,0.01120609,0.58319642,0.01371585,0.72696675,0.00207520,0.14503209,0.00262829,0.08784676,0.00147914,0.05255179,0.00078494,0.16789924,0.00080969,0.11767752,0.00165327,80,96
minus_calibration_guard,5,0.66666667,0.01302958,0.58355868,0.01519573,0.72749543,0.00200275,0.14474686,0.00258285,0.08802216,0.00150572,0.05275454,0.00077044,0.16749299,0.00078792,0.11750018,0.00172768,80,96
minus_calibration_guard,6,0.66341146,0.01182812,0.57971698,0.01403704,0.72714866,0.00221093,0.14491186,0.00251866,0.08812004,0.00143563,0.05302403,0.00076920,0.16748694,0.00080084,0.11804548,0.00163496,80,96
minus_calibration_guard,7,0.65950521,0.01373724,0.57567519,0.01590041,0.72732716,0.00209820,0.14507686,0.00256568,0.08803735,0.00145109,0.05309430,0.00072918,0.16738084,0.00078990,0.11876211,0.00176072,80,96
minus_calibration_guard,8,0.67460937,0.01166897,0.59154519,0.01368210,0.72768075,0.00213222,0.14494171,0.00254133,0.08797324,0.00137260,0.05291814,0.00075600,0.16737479,0.00084837,0.11692798,0.00166052,80,96
minus_calibration_guard,9,0.65585938,0.01218979,0.57112246,0.01428651,0.72750908,0.00199605,0.14510671,0.00245556,0.08883611,0.00143490,0.05321228,0.00072083,0.16766889,0.00085782,0.11937154,0.00174654,80,96
minus_cost_constraint,0,0.67643229,0.01426831,0.58886562,0.01684273,0.72666776,0.00207732,0.13947247,0.00247118,0.08420307,0.00151613,0.05080187,0.00081560,0.22834794,0.00088723,0.11520955,0.00198595,80,96
minus_cost_constraint,1,0.67382812,0.01355843,0.58604431,0.01540619,0.72665718,0.00211557,0.13962547,0.00251170,0.08437301,0.00143187,0.05095570,0.00078078,0.22803374,0.00088762,0.11503174,0.00190976,80,96
minus_cost_constraint,2,0.67994792,0.01459116,0.59238053,0.01703604,0.72699676,0.00212738,0.14007862,0.00251716,0.08439268,0.00143296,0.05084883,0.00082903,0.22791964,0.00089984,0.11417273,0.00203031,80,96
minus_cost_constraint,3,0.66432292,0.01111745,0.57580709,0.01277231,0.72681109,0.00214962,0.13978140,0.00257124,0.08483609,0.00139256,0.05114528,0.00071685,0.22800564,0.00087611,0.11631095,0.00148317,80,96
minus_cost_constraint,4,0.67773438,0.01299585,0.59014627,0.01520572,0.72732576,0.00207450,0.13978432,0.00252301,0.08451985,0.00140678,0.05107901,0.00080735,0.22789154,0.00086844,0.11427939,0.00181787,80,96
minus_cost_constraint,5,0.67434896,0.01196203,0.58622285,0.01388719,0.72801553,0.00210281,0.13933702,0.00253537,0.08509062,0.00137880,0.05146024,0.00077365,0.22767739,0.00085863,0.11503979,0.00168684,80,96
minus_cost_constraint,6,0.66302083,0.01367712,0.57480165,0.01601819,0.72835511,0.00203702,0.13949002,0.00251554,0.08522213,0.00155776,0.05086834,0.00079557,0.22776339,0.00081348,0.11664292,0.00189730,80,96
minus_cost_constraint,7,0.68346354,0.01266766,0.59672499,0.01464171,0.72799435,0.00184980,0.13949295,0.00245614,0.08449486,0.00147382,0.05035069,0.00080811,0.22764929,0.00081146,0.11415316,0.00175998,80,96
minus_cost_constraint,8,0.67005208,0.01393829,0.58239103,0.01607557,0.72745850,0.00210241,0.13964595,0.00248358,0.08508907,0.00151083,0.05052440,0.00076560,0.22753519,0.00078243,0.11506857,0.00184333,80,96
minus_cost_constraint,9,0.67252604,0.01126988,0.58467715,0.01297118,0.72709774,0.00210910,0.13994902,0.00248427,0.08481221,0.00139263,0.05076281,0.00069853,0.22782129,0.00079474,0.11477559,0.00151552,80,96
minus_counterfactual_pairs,0,0.64309896,0.01305863,0.53771948,0.01563689,0.70070966,0.00202397,0.16016975,0.00280210,0.09371871,0.00148320,0.05625261,0.00085978,0.17049644,0.00090380,0.12623338,0.00187631,80,96
minus_counterfactual_pairs,1,0.64453125,0.01341554,0.53977368,0.01587760,0.70125934,0.00207049,0.16050283,0.00276676,0.09349425,0.00146800,0.05583311,0.00083432,0.17070249,0.00087764,0.12555822,0.00186027,80,96
minus_counterfactual_pairs,2,0.64049479,0.01352629,0.53522895,0.01592226,0.70163393,0.00208902,0.16098598,0.00273923,0.09343956,0.00144675,0.05612523,0.00085722,0.17060839,0.00083730,0.12631364,0.00193742,80,96
minus_counterfactual_pairs,3,0.63567708,0.01359914,0.53015271,0.01632384,0.70130816,0.00214722,0.16131905,0.00273937,0.09360269,0.00148046,0.05614163,0.00084179,0.17001404,0.00084619,0.12682194,0.00192260,80,96
minus_counterfactual_pairs,4,0.63997396,0.01330926,0.53515055,0.01530204,0.70115749,0.00224944,0.16075168,0.00269641,0.09355823,0.00131719,0.05586526,0.00075040,0.16981989,0.00089656,0.12605146,0.00181965,80,96
minus_counterfactual_pairs,5,0.63554687,0.01264681,0.53096116,0.01501144,0.70135699,0.00210800,0.16063453,0.00256309,0.09379259,0.00145739,0.05547060,0.00082542,0.16992589,0.00089191,0.12597564,0.00180566,80,96
minus_counterfactual_pairs,6,0.63736979,0.01367227,0.53318663,0.01596157,0.70155649,0.00213368,0.16006715,0.00278308,0.09382234,0.00144679,0.05534326,0.00079374,0.17013194,0.00089835,0.12561754,0.00191180,80,96
minus_counterfactual_pairs,7,0.64921875,0.01224556,0.54579737,0.01458111,0.70175599,0.00204641,0.15979993,0.00271706,0.09336262,0.00146850,0.05541168,0.00074712,0.16983774,0.00086114,0.12454070,0.00167845,80,96
minus_counterfactual_pairs,8,0.63164062,0.01298518,0.52656304,0.01550800,0.70230566,0.00211086,0.16028308,0.00273082,0.09401432,0.00145964,0.05598994,0.00080139,0.16994374,0.00088515,0.12695650,0.00184884,80,96
minus_counterfactual_pairs,9,0.63854167,0.01383201,0.53386521,0.01637603,0.70180481,0.00213018,0.16061615,0.00268062,0.09312555,0.00142696,0.05603244,0.00081250,0.17014979,0.00084026,0.12637763,0.00196359,80,96
minus_interventional_contrast,0,0.64322917,0.01351900,0.54342117,0.01590016,0.67990873,0.00219030,0.15187208,0.00263417,0.08810205,0.00154155,0.05273721,0.00075750,0.16962894,0.00083153,0.12758589,0.00179313,80,96
